Date,Price
5/3/2008,436.4142395
5/4/2008,415.6256983
5/5/2008,440.2289562
5/6/2008,436.2259136
5/7/2008,432.6979167
5/8/2008,426.4826389
5/9/2008,428.9901316
5/10/2008,424.3346008
5/11/2008,413.1767956
5/12/2008,446.2424242
5/13/2008,433.2189542
5/14/2008,424.8986486
5/15/2008,441.5755034
5/16/2008,435.7810458
5/17/2008,436.5222603
5/18/2008,428.1179775
5/19/2008,446.5243056
5/20/2008,447.1636364
5/21/2008,435.1414141
5/22/2008,438.3817568
5/23/2008,445.7623762
5/24/2008,448.0949821
5/25/2008,433.5600559
5/26/2008,448.6748252
5/27/2008,451.3216667
5/28/2008,444.2278689
5/29/2008,444.6627517
5/30/2008,451.0852843
5/31/2008,475.6473029
6/1/2008,463.5847953
6/2/2008,457.9125
6/3/2008,442.2788162
6/4/2008,453.5088757
6/5/2008,456.7459547
6/6/2008,471.2864407
6/7/2008,460.3233438
6/8/2008,450.9666667
6/9/2008,466.6740506
6/10/2008,465.1122754
6/11/2008,455.0238095
6/12/2008,459.3110749
6/13/2008,471.1787975
6/14/2008,447.5441176
6/15/2008,450.6777778
6/16/2008,468.216129
6/17/2008,469.3973941
6/18/2008,465.4220779
6/19/2008,465.4830769
6/20/2008,470.6837349
6/21/2008,468.4737654
6/22/2008,447.7527174
6/23/2008,476.5107692
6/24/2008,471.684375
6/25/2008,464.637224
6/26/2008,475.7415385
6/27/2008,476.2682927
6/28/2008,470.8013937
6/29/2008,453.1280488
6/30/2008,469.9011628
7/1/2008,472.1795666
7/2/2008,463.5
7/3/2008,470.0654952
7/4/2008,476.2885802
7/5/2008,481.6207951
7/6/2008,465.0257732
7/7/2008,473.03003
7/8/2008,468.3466077
7/9/2008,474.6205882
7/10/2008,480.2625
7/11/2008,475.8975904
7/12/2008,463.2596491
7/13/2008,469.1142132
7/14/2008,484.1482558
7/15/2008,484.7957317
7/16/2008,473.1706587
7/17/2008,492.1376147
7/18/2008,482.9939394
7/19/2008,474.7278287
7/20/2008,464.375
7/21/2008,476.0555556
7/22/2008,488.5468278
7/23/2008,489.8419244
7/24/2008,474.1222571
7/25/2008,472.8738318
7/26/2008,470.5257732
7/27/2008,465.9935484
7/28/2008,477.5582192
7/29/2008,493.0415225
7/30/2008,477.6942675
7/31/2008,480.3149606
8/1/2008,465.6533333
8/2/2008,465.8393443
8/3/2008,455.0111111
8/4/2008,464.7971698
